date,daily-atr,close,spike,doji,spike-doji,doji-v,spike-v,spike-doji-v,long,short
2024-08-29T21:50:00Z,,1.10775,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T21:51:00Z,,1.10775,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T21:52:00Z,,1.10775,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T21:53:00Z,,1.10775,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T21:54:00Z,,1.10775,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T21:55:00Z,,1.10775,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T21:58:00Z,,1.10774,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:00:00Z,,1.10785,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:01:00Z,,1.10785,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T22:02:00Z,,1.1079,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:03:00Z,,1.10786,flat,short,flat,-1.0,0.0,0.0,,
2024-08-29T22:04:00Z,,1.10785,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T22:05:00Z,,1.10786,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:06:00Z,,1.10783,flat,short,flat,-1.0,0.0,0.0,,
2024-08-29T22:07:00Z,,1.10781,flat,short,flat,-1.0,0.0,0.0,,
2024-08-29T22:08:00Z,,1.10779,flat,short,flat,-1.0,0.0,0.0,,
2024-08-29T22:09:00Z,,1.10779,flat,short,flat,-1.0,0.0,0.0,,
2024-08-29T22:10:00Z,,1.1078,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:11:00Z,,1.1078,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T22:12:00Z,,1.1078,flat,short,flat,-1.0,0.0,0.0,,
2024-08-29T22:13:00Z,,1.10776,flat,short,flat,-1.0,0.0,0.0,,
2024-08-29T22:14:00Z,,1.10773,flat,short,flat,-1.0,0.0,0.0,,
2024-08-29T22:15:00Z,,1.10777,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:16:00Z,,1.10779,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:17:00Z,,1.10784,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:18:00Z,,1.10785,flat,flat,flat,0.0,0.0,0.0,,
2024-08-29T22:19:00Z,,1.10785,flat,long,flat,1.0,0.0,0.0,,
2024-08-29T22:20:00Z,,1.10781,flat,short,flat,-1.0,0.0,0.0,,
